,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Hobart,-42.88,147.33,62.4,39,20,16.11,AU,<class 'datetime.date'>
131,Dwārka,22.24,68.97,86.97,66,0,13.33,IN,<class 'datetime.date'>
132,Mitsamiouli,-11.38,43.28,80.6,83,40,18.34,KM,<class 'datetime.date'>
133,Port Hawkesbury,45.62,-61.35,32.68,98,90,10.29,CA,<class 'datetime.date'>
134,Krasnosel'kup,65.7,82.47,42.93,79,91,17.34,RU,<class 'datetime.date'>
135,Payo,-3.75,103.64,90.46,60,87,3.27,ID,<class 'datetime.date'>
136,Souillac,-20.52,57.52,77.0,88,75,2.24,MU,<class 'datetime.date'>
137,Beloha,-25.17,45.05,72.14,68,4,12.17,MG,<class 'datetime.date'>
138,Paamiut,61.99,-49.67,36.68,82,84,1.21,GL,<class 'datetime.date'>
139,Tiksi,71.69,128.87,18.81,95,100,17.09,RU,<class 'datetime.date'>
140,Nikolskoye,59.7,30.79,47.84,75,0,6.71,RU,<class 'datetime.date'>
141,Mäntsälä,60.66,25.28,43.97,60,1,5.82,FI,<class 'datetime.date'>
142,Urusha,54.05,122.9,60.13,29,4,8.05,RU,<class 'datetime.date'>
143,Friesach,46.96,14.41,44.53,75,67,3.36,AT,<class 'datetime.date'>
144,Mount Isa,-20.73,139.5,89.6,24,75,8.05,AU,<class 'datetime.date'>
145,Nantucket,41.28,-70.1,50.25,76,1,19.46,US,<class 'datetime.date'>
146,Yulara,-25.24,130.99,87.8,14,40,16.11,AU,<class 'datetime.date'>
147,Shīeli,44.17,66.75,81.37,26,99,9.1,KZ,<class 'datetime.date'>
148,Dikson,73.51,80.55,25.23,98,100,31.12,RU,<class 'datetime.date'>
149,Tura,25.52,90.22,92.86,30,1,6.26,IN,<class 'datetime.date'>
150,Longyearbyen,78.22,15.64,26.6,68,40,6.93,SJ,<class 'datetime.date'>
151,Daru,-9.08,143.21,82.22,73,87,14.12,PG,<class 'datetime.date'>
152,Robertsport,6.75,-11.37,80.35,85,97,3.85,LR,<class 'datetime.date'>
153,Noumea,-22.28,166.46,75.63,78,56,10.29,NC,<class 'datetime.date'>
154,Sørland,67.67,12.69,33.8,80,40,2.24,NO,<class 'datetime.date'>
155,Mahébourg,-20.41,57.7,77.0,88,75,2.24,MU,<class 'datetime.date'>
156,Kalat,29.02,66.59,79.3,16,0,13.87,PK,<class 'datetime.date'>
157,Rawson,-43.3,-65.1,63.5,46,100,10.04,AR,<class 'datetime.date'>
158,Cherskiy,68.75,161.3,36.1,83,10,3.06,RU,<class 'datetime.date'>
159,Rio Grande,-32.03,-52.1,50.68,84,0,8.1,BR,<class 'datetime.date'>
160,Mopti,14.67,-4.0,82.56,14,62,9.24,ML,<class 'datetime.date'>
161,Taoudenni,22.68,-3.98,95.02,18,88,10.2,ML,<class 'datetime.date'>
162,Schmölln,50.9,12.37,45.52,75,100,4.7,DE,<class 'datetime.date'>
163,Virginia Beach,36.85,-75.98,51.82,50,1,8.05,US,<class 'datetime.date'>
164,Kaitangata,-46.28,169.85,50.0,71,76,2.33,NZ,<class 'datetime.date'>
165,Castro,-24.79,-50.01,43.23,93,0,4.92,BR,<class 'datetime.date'>
166,Stolin,51.89,26.85,47.57,66,61,7.31,BY,<class 'datetime.date'>
167,Port Hedland,-20.32,118.57,89.6,27,10,14.99,AU,<class 'datetime.date'>
168,Ossora,59.24,163.07,33.49,96,100,7.14,RU,<class 'datetime.date'>
169,Sur,22.57,59.53,97.7,28,0,1.54,OM,<class 'datetime.date'>
170,Kodinsk,58.69,99.18,52.7,47,17,7.67,RU,<class 'datetime.date'>
171,Monte Alegre,-2.01,-54.07,74.61,97,100,0.6,BR,<class 'datetime.date'>
172,Imbituba,-28.24,-48.67,57.2,87,90,1.12,BR,<class 'datetime.date'>
173,Mayna,54.11,47.62,62.98,77,100,4.27,RU,<class 'datetime.date'>
174,Hastings,50.86,0.57,50.04,78,93,3.74,GB,<class 'datetime.date'>
175,Zaragoza,41.66,-0.88,60.8,72,50,4.7,ES,<class 'datetime.date'>
176,Tanta,30.79,31.0,81.9,21,47,6.8,EG,<class 'datetime.date'>
177,Inírida,3.87,-67.92,74.03,98,100,2.17,CO,<class 'datetime.date'>
178,Pevek,69.7,170.31,33.87,86,16,2.35,RU,<class 'datetime.date'>
179,Juneau,58.3,-134.42,50.95,57,75,3.98,US,<class 'datetime.date'>
180,Palāsa,18.77,84.42,98.17,37,2,12.08,IN,<class 'datetime.date'>
181,Kendari,-3.94,122.5,82.42,87,100,3.67,ID,<class 'datetime.date'>
182,São Filipe,14.9,-24.5,72.88,78,21,12.33,CV,<class 'datetime.date'>
183,East London,-33.02,27.91,64.4,72,92,9.17,ZA,<class 'datetime.date'>
184,Meulaboh,4.14,96.13,77.88,93,100,10.47,ID,<class 'datetime.date'>
185,Soskovo,52.75,35.38,47.44,83,69,6.35,RU,<class 'datetime.date'>
186,La Ronge,55.1,-105.28,33.8,80,75,6.93,CA,<class 'datetime.date'>
187,Poum,-20.23,164.02,77.09,69,4,26.04,NC,<class 'datetime.date'>
188,Biak,-0.91,122.88,85.33,69,60,3.4,ID,<class 'datetime.date'>
189,Saint George,37.1,-113.58,68.41,9,1,11.41,US,<class 'datetime.date'>
190,Naze,28.37,129.48,75.2,73,75,19.46,JP,<class 'datetime.date'>
191,Van,38.49,43.38,55.4,62,40,3.36,TR,<class 'datetime.date'>
192,Pitimbu,-7.47,-34.81,73.4,94,20,3.36,BR,<class 'datetime.date'>
193,Kahului,20.89,-156.47,69.91,73,40,16.11,US,<class 'datetime.date'>
194,Gazojak,41.19,61.4,81.19,32,16,19.24,TM,<class 'datetime.date'>
195,Sitka,57.05,-135.33,55.4,62,90,9.17,US,<class 'datetime.date'>
196,Havøysund,71.0,24.66,33.82,80,40,23.04,NO,<class 'datetime.date'>
197,Avera,33.19,-82.53,47.21,100,1,3.24,US,<class 'datetime.date'>
198,Praia,14.92,-23.51,71.6,73,20,18.34,CV,<class 'datetime.date'>
199,Guerrero Negro,27.98,-114.06,69.35,57,17,10.76,MX,<class 'datetime.date'>
200,Letlhakane,-21.42,25.58,58.03,73,0,11.72,BW,<class 'datetime.date'>
201,Kieta,-6.22,155.63,82.76,72,46,3.13,PG,<class 'datetime.date'>
202,Fomboni,-12.28,43.74,81.57,79,1,17.85,KM,<class 'datetime.date'>
203,Lagoa,39.05,-27.98,60.26,68,40,27.04,PT,<class 'datetime.date'>
204,Port Hardy,50.7,-127.42,48.2,76,40,10.29,CA,<class 'datetime.date'>
205,Boa Vista,2.82,-60.67,77.0,88,40,5.82,BR,<class 'datetime.date'>
206,Narsaq,60.92,-46.05,39.2,88,72,3.36,GL,<class 'datetime.date'>
207,Talnakh,69.49,88.4,35.6,80,75,29.08,RU,<class 'datetime.date'>
208,Mehamn,71.04,27.85,37.4,69,40,23.04,NO,<class 'datetime.date'>
209,Puri,19.8,85.85,91.4,63,40,14.67,IN,<class 'datetime.date'>
210,Lompoc,34.64,-120.46,55.0,87,1,5.82,US,<class 'datetime.date'>
211,Palana,59.12,159.97,32.25,95,82,10.69,RU,<class 'datetime.date'>
212,San Joaquin,10.26,-67.79,77.54,76,100,4.27,VE,<class 'datetime.date'>
213,Nelson Bay,-32.72,152.15,77.22,34,0,8.05,AU,<class 'datetime.date'>
214,Belleville,44.18,-77.37,33.75,74,5,5.82,CA,<class 'datetime.date'>
215,Grindavik,63.84,-22.43,33.8,74,22,18.34,IS,<class 'datetime.date'>
216,Beringovskiy,63.05,179.32,32.23,98,100,11.74,RU,<class 'datetime.date'>
217,Muros,42.78,-9.06,57.0,89,56,4.21,ES,<class 'datetime.date'>
