,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,Kiryat Gat,31.61,34.76,60.75,79,5,5.46,IL,<class 'datetime.date'>
142,Malé,4.17,73.51,87.8,79,20,9.17,MV,<class 'datetime.date'>
143,Kavieng,-2.57,150.8,85.46,78,86,13.94,PG,<class 'datetime.date'>
144,Storforshei,66.4,14.52,27.21,91,100,3.29,NO,<class 'datetime.date'>
145,Great Bend,38.36,-98.76,47.05,81,1,4.14,US,<class 'datetime.date'>
146,Olafsvik,64.89,-23.71,38.07,73,0,11.43,IS,<class 'datetime.date'>
147,Fenoarivo,-18.93,47.44,60.8,82,75,8.05,MG,<class 'datetime.date'>
148,Iwanai,42.97,140.51,53.49,88,100,6.64,JP,<class 'datetime.date'>
149,Hilo,19.73,-155.09,74.1,57,90,4.7,US,<class 'datetime.date'>
150,Vicuña,-30.03,-70.71,45.0,60,0,1.34,CL,<class 'datetime.date'>
151,Hambantota,6.12,81.12,87.8,84,20,3.36,LK,<class 'datetime.date'>
152,Vaxjo,56.88,14.81,43.34,93,71,3.36,SE,<class 'datetime.date'>
153,Fare,-16.7,-151.02,82.58,80,85,16.44,PF,<class 'datetime.date'>
154,Namatanai,-3.67,152.43,86.83,69,31,10.56,PG,<class 'datetime.date'>
155,Padang,-0.95,100.35,87.33,61,57,4.32,ID,<class 'datetime.date'>
156,Lavrentiya,65.58,-171.0,36.07,89,100,10.25,RU,<class 'datetime.date'>
157,Cabedelo,-6.98,-34.83,73.4,94,29,4.7,BR,<class 'datetime.date'>
158,Bandarbeyla,9.49,50.81,82.24,72,50,7.78,SO,<class 'datetime.date'>
159,Ocós,14.51,-92.19,82.4,78,40,3.36,GT,<class 'datetime.date'>
160,Labuan,5.28,115.24,89.29,75,75,2.24,MY,<class 'datetime.date'>
161,Barra de Tecoanapa,16.52,-98.75,80.37,79,0,4.72,MX,<class 'datetime.date'>
162,Salisbury,51.07,-1.8,50.02,71,90,8.05,GB,<class 'datetime.date'>
163,Bluff,-46.6,168.33,59.32,74,45,6.04,NZ,<class 'datetime.date'>
164,Kapaa,22.08,-159.32,74.52,73,75,17.22,US,<class 'datetime.date'>
165,Opuwo,-18.06,13.84,60.44,50,0,7.83,NA,<class 'datetime.date'>
166,Jumla,29.27,82.18,64.0,79,53,1.99,NP,<class 'datetime.date'>
167,Quthing,-30.4,27.7,45.7,56,0,2.06,LS,<class 'datetime.date'>
168,Beringovskiy,63.05,179.32,34.0,93,100,31.0,RU,<class 'datetime.date'>
169,Vila do Maio,15.13,-23.22,71.6,73,40,14.99,CV,<class 'datetime.date'>
170,Druzhba,52.04,33.95,47.64,81,100,8.43,UA,<class 'datetime.date'>
171,Praia,14.92,-23.51,71.6,73,40,14.99,CV,<class 'datetime.date'>
172,Copiapó,-27.37,-70.33,57.2,82,10,3.36,CL,<class 'datetime.date'>
173,Mahébourg,-20.41,57.7,75.2,73,40,13.87,MU,<class 'datetime.date'>
174,Mana,5.66,-53.78,77.63,90,94,9.08,GF,<class 'datetime.date'>
175,Zhangaözen,43.3,52.8,61.84,60,100,16.26,KZ,<class 'datetime.date'>
176,Taoudenni,22.68,-3.98,90.01,11,0,10.18,ML,<class 'datetime.date'>
177,Pringsewu,-5.36,104.97,85.71,76,95,1.28,ID,<class 'datetime.date'>
178,Mossamedes,-15.2,12.15,78.64,49,85,2.24,AO,<class 'datetime.date'>
179,New Norfolk,-42.78,147.06,50.32,70,74,1.99,AU,<class 'datetime.date'>
180,Pevek,69.7,170.31,35.31,83,100,14.41,RU,<class 'datetime.date'>
181,Talnakh,69.49,88.4,32.0,97,40,20.13,RU,<class 'datetime.date'>
182,Faanui,-16.48,-151.75,81.81,81,42,17.63,PF,<class 'datetime.date'>
183,Coquimbo,-29.95,-71.34,51.8,87,0,2.24,CL,<class 'datetime.date'>
184,Grindavik,63.84,-22.43,33.8,64,5,3.36,IS,<class 'datetime.date'>
185,Kaitong,44.81,123.15,69.44,22,17,17.87,CN,<class 'datetime.date'>
186,Neuquén,-38.95,-68.06,68.0,43,61,17.22,AR,<class 'datetime.date'>
187,Pierre,44.37,-100.35,34.25,80,40,10.29,US,<class 'datetime.date'>
188,Altagracia de Orituco,9.86,-66.38,73.18,85,95,5.41,VE,<class 'datetime.date'>
189,Necochea,-38.55,-58.74,50.0,91,2,8.01,AR,<class 'datetime.date'>
190,Gushikawa,26.35,127.87,81.52,78,20,13.87,JP,<class 'datetime.date'>
191,Verkhnevilyuysk,63.45,120.32,47.73,47,0,7.4,RU,<class 'datetime.date'>
192,Krasnyye Baki,57.13,45.16,56.62,89,99,8.75,RU,<class 'datetime.date'>
193,Butaritari,3.07,172.79,84.04,74,69,5.66,KI,<class 'datetime.date'>
194,Whakatane,-37.96,176.99,64.99,72,0,1.99,NZ,<class 'datetime.date'>
195,Morwell,-38.23,146.4,55.0,73,26,5.99,AU,<class 'datetime.date'>
196,Port-Gentil,-0.72,8.78,82.22,80,94,7.67,GA,<class 'datetime.date'>
197,Roald,62.58,6.13,37.26,55,100,13.87,NO,<class 'datetime.date'>
198,Cockburn Town,21.46,-71.14,80.87,85,0,16.67,TC,<class 'datetime.date'>
199,Ilhabela,-23.78,-45.36,66.78,80,12,6.78,BR,<class 'datetime.date'>
200,Arraial do Cabo,-22.97,-42.03,70.23,72,0,11.81,BR,<class 'datetime.date'>
201,Severo-Kuril'sk,50.68,156.12,34.81,86,84,17.0,RU,<class 'datetime.date'>
202,Bilibino,68.05,166.44,36.9,80,100,17.36,RU,<class 'datetime.date'>
203,Santa Cruz del Sur,20.71,-78.0,81.95,78,100,5.28,CU,<class 'datetime.date'>
204,Alofi,-19.06,-169.92,84.2,74,100,8.05,NU,<class 'datetime.date'>
205,Havelock,34.88,-76.9,44.96,75,1,5.93,US,<class 'datetime.date'>
206,Palu,-0.89,119.87,87.15,69,62,3.31,ID,<class 'datetime.date'>
207,Dingle,11.0,122.67,94.89,45,91,8.32,PH,<class 'datetime.date'>
208,Borovoy,55.43,86.08,69.8,43,2,2.24,RU,<class 'datetime.date'>
209,Olinda,-8.01,-34.86,78.8,78,40,4.7,BR,<class 'datetime.date'>
210,Ilulissat,69.22,-51.1,30.2,86,100,5.82,GL,<class 'datetime.date'>
211,Airai,-8.93,125.41,71.11,69,58,4.52,TL,<class 'datetime.date'>
212,Khovd,48.01,91.64,55.0,31,0,4.79,MN,<class 'datetime.date'>
213,Yantongshan,43.29,126.01,72.32,41,0,13.06,CN,<class 'datetime.date'>
214,San Vicente,-26.62,-54.13,54.39,81,0,4.23,AR,<class 'datetime.date'>
215,Ust-Kuyga,70.02,135.6,32.85,95,100,7.61,RU,<class 'datetime.date'>
216,Carutapera,-1.2,-46.02,75.92,93,100,3.94,BR,<class 'datetime.date'>
217,Tabou,4.42,-7.35,79.52,88,95,8.16,CI,<class 'datetime.date'>
218,Sarkand,45.41,79.92,68.47,46,100,7.27,KZ,<class 'datetime.date'>
219,Marang,5.21,103.21,89.29,75,40,4.7,MY,<class 'datetime.date'>
220,Bubaque,11.28,-15.83,77.94,74,100,12.1,GW,<class 'datetime.date'>
221,Umm Hājar,13.3,19.7,78.62,14,4,10.09,TD,<class 'datetime.date'>
222,Tasiilaq,65.61,-37.64,32.0,86,18,13.87,GL,<class 'datetime.date'>
223,Baie-Comeau,49.22,-68.15,41.0,48,90,10.29,CA,<class 'datetime.date'>
224,Cukai,4.25,103.42,84.09,89,40,3.36,MY,<class 'datetime.date'>
225,Constitución,-35.33,-72.42,55.36,86,25,4.12,CL,<class 'datetime.date'>
226,Yulara,-25.24,130.99,64.4,34,93,14.99,AU,<class 'datetime.date'>
227,Bereket,39.24,55.52,78.31,31,45,19.82,TM,<class 'datetime.date'>
228,Plouzané,48.38,-4.62,54.84,93,90,5.82,FR,<class 'datetime.date'>
229,Rexburg,43.83,-111.79,52.66,32,1,5.55,US,<class 'datetime.date'>
230,Nuuk,64.18,-51.72,42.4,73,79,12.75,GL,<class 'datetime.date'>
231,Maputo,-25.97,32.59,65.77,88,40,4.7,MZ,<class 'datetime.date'>
232,Kapit,2.02,112.93,95.58,49,100,1.74,MY,<class 'datetime.date'>
233,Ha Giang,22.83,104.98,98.91,42,2,3.62,VN,<class 'datetime.date'>
234,Pacific Grove,36.62,-121.92,54.64,82,90,1.07,US,<class 'datetime.date'>
235,Te Anau,-45.42,167.72,57.67,65,98,5.41,NZ,<class 'datetime.date'>
236,Sampit,-2.53,112.95,94.86,51,43,2.15,ID,<class 'datetime.date'>
237,Chilca,-12.52,-76.74,69.8,73,26,12.75,PE,<class 'datetime.date'>
238,Ponta Delgada,37.73,-25.67,60.8,93,75,17.22,PT,<class 'datetime.date'>
239,Kutum,14.2,24.67,66.88,19,2,9.95,SD,<class 'datetime.date'>
240,Wad Rāwah,15.16,33.14,84.97,12,82,13.33,SD,<class 'datetime.date'>
241,Ca Mau,9.18,105.15,96.44,44,100,8.25,VN,<class 'datetime.date'>
242,Selma,36.57,-119.61,82.51,44,1,1.16,US,<class 'datetime.date'>
243,Nelson Bay,-32.72,152.15,64.74,25,0,11.41,AU,<class 'datetime.date'>
244,Caravelas,-17.71,-39.25,70.68,78,31,9.64,BR,<class 'datetime.date'>
245,Itarema,-2.92,-39.92,75.36,87,25,4.38,BR,<class 'datetime.date'>
246,Young,-32.68,-57.63,57.99,78,64,1.01,UY,<class 'datetime.date'>
247,Saint George,37.1,-113.58,78.13,14,1,6.93,US,<class 'datetime.date'>
248,Viedma,-40.81,-63.0,59.59,39,43,14.32,AR,<class 'datetime.date'>
249,West Bay,19.37,-81.42,82.99,77,67,3.0,KY,<class 'datetime.date'>
250,Damara,4.96,18.7,73.4,100,20,4.7,CF,<class 'datetime.date'>
251,Kendari,-3.94,122.5,88.47,52,19,3.8,ID,<class 'datetime.date'>
252,Kushmurun,52.45,64.63,69.28,59,100,13.18,KZ,<class 'datetime.date'>
253,Beloha,-25.17,45.05,65.32,86,17,12.39,MG,<class 'datetime.date'>
254,Cervo,43.67,-7.41,55.24,83,100,5.84,ES,<class 'datetime.date'>
255,Lata,40.16,-8.33,51.31,93,40,5.82,PT,<class 'datetime.date'>
256,Nouadhibou,20.93,-17.03,66.38,81,100,22.77,MR,<class 'datetime.date'>
257,Nchelenge,-9.35,28.73,63.48,69,2,7.61,ZM,<class 'datetime.date'>
258,Lebanon,36.21,-86.29,45.23,66,1,4.43,US,<class 'datetime.date'>
259,Asău,46.43,26.4,48.87,93,0,1.12,RO,<class 'datetime.date'>
260,Sioux Lookout,50.1,-91.92,35.6,55,75,6.93,CA,<class 'datetime.date'>
261,Santo Antônio do Leverger,-15.87,-56.08,73.4,78,0,3.29,BR,<class 'datetime.date'>
262,Mackenzie,55.3,-123.17,53.6,27,1,11.41,CA,<class 'datetime.date'>
263,Esperance,-33.87,121.9,64.4,42,0,17.22,AU,<class 'datetime.date'>
264,Los Llanos de Aridane,28.66,-17.92,64.4,72,17,4.7,ES,<class 'datetime.date'>
265,Fortuna,40.6,-124.16,53.42,100,1,6.93,US,<class 'datetime.date'>
266,Hofn,64.25,-15.21,31.64,79,0,3.85,IS,<class 'datetime.date'>
267,Garoowe,8.41,48.48,78.57,70,97,4.14,SO,<class 'datetime.date'>
268,Lima,-12.04,-77.03,69.8,73,14,12.75,PE,<class 'datetime.date'>
269,Puerto Palomas,31.77,-107.62,73.4,25,1,5.82,MX,<class 'datetime.date'>
270,Kaeo,-35.1,173.78,64.99,15,52,7.0,NZ,<class 'datetime.date'>
271,Sola,-13.88,167.55,86.0,70,75,5.82,VU,<class 'datetime.date'>
272,Oranjemund,-28.55,16.43,66.92,38,0,1.41,NA,<class 'datetime.date'>
273,Portland,45.52,-122.68,75.42,36,91,6.53,US,<class 'datetime.date'>
274,Almaznyy,48.04,40.05,50.0,81,40,11.18,RU,<class 'datetime.date'>
275,Lompoc,34.64,-120.46,55.08,93,90,5.82,US,<class 'datetime.date'>
276,Sattahip,12.67,100.9,91.4,70,20,6.93,TH,<class 'datetime.date'>
277,Shihezi,44.3,86.03,79.77,16,99,9.44,CN,<class 'datetime.date'>
278,Kahului,20.89,-156.47,72.32,61,75,16.11,US,<class 'datetime.date'>
279,Broken Hill,-31.95,141.43,57.2,47,40,11.41,AU,<class 'datetime.date'>
280,Iquique,-20.22,-70.14,66.2,68,90,3.36,CL,<class 'datetime.date'>
281,Lüderitz,-26.65,15.16,55.4,82,0,1.12,NA,<class 'datetime.date'>
282,Sisimiut,66.94,-53.67,33.46,92,51,9.93,GL,<class 'datetime.date'>
283,Catabola,-12.15,17.28,57.88,84,89,3.09,AO,<class 'datetime.date'>
284,Roebourne,-20.78,117.13,88.5,20,99,19.13,AU,<class 'datetime.date'>
285,Grafton,42.21,-71.69,33.37,87,1,13.87,US,<class 'datetime.date'>
286,Arona,28.1,-16.68,63.64,72,20,5.82,ES,<class 'datetime.date'>
287,Shitanjing,39.23,106.34,53.56,37,12,18.84,CN,<class 'datetime.date'>
288,Paamiut,61.99,-49.67,42.78,60,88,16.62,GL,<class 'datetime.date'>
289,Kohlu,29.9,69.25,88.61,15,0,9.91,PK,<class 'datetime.date'>
290,Porto Franco,-6.34,-47.4,73.44,94,98,2.57,BR,<class 'datetime.date'>
291,Felanitx,39.47,3.15,63.9,100,75,10.29,ES,<class 'datetime.date'>
292,Sechura,-5.56,-80.82,72.28,77,0,13.67,PE,<class 'datetime.date'>
293,Vanavara,60.34,102.28,55.15,37,13,19.13,RU,<class 'datetime.date'>
294,Diffa,13.32,12.61,80.92,16,34,8.21,NE,<class 'datetime.date'>
295,Tucupita,9.06,-62.05,72.5,92,17,3.27,VE,<class 'datetime.date'>
296,Yushala,57.08,64.26,68.0,37,71,11.18,RU,<class 'datetime.date'>
297,Cururupu,-1.83,-44.87,74.89,95,100,3.04,BR,<class 'datetime.date'>
298,Itaituba,-4.28,-55.98,73.33,95,41,1.19,BR,<class 'datetime.date'>
299,Cayenne,4.93,-52.33,77.0,100,75,10.13,GF,<class 'datetime.date'>
300,Honiara,-9.43,159.95,89.6,70,20,14.99,SB,<class 'datetime.date'>
301,Mnogovershinnyy,53.94,139.92,49.71,54,0,2.71,RU,<class 'datetime.date'>
302,Departamento de Maldonado,-34.67,-54.92,54.97,87,0,3.36,UY,<class 'datetime.date'>
303,Florø,61.6,5.03,33.8,86,98,14.99,NO,<class 'datetime.date'>
304,Andros Town,24.7,-77.77,78.8,74,75,10.29,BS,<class 'datetime.date'>
305,Zhuhai,22.28,113.57,87.66,79,40,13.87,CN,<class 'datetime.date'>
306,Orlik,52.52,99.83,51.06,43,89,4.97,RU,<class 'datetime.date'>
307,Sasaram,24.95,84.01,100.51,14,0,7.96,IN,<class 'datetime.date'>
308,Rāwah,34.48,41.91,69.22,44,0,21.59,IQ,<class 'datetime.date'>
309,Castro,-24.79,-50.01,49.39,90,0,3.87,BR,<class 'datetime.date'>
310,Vardø,70.37,31.11,33.21,94,100,13.35,NO,<class 'datetime.date'>
311,Isangel,-19.55,169.27,78.8,69,75,5.82,VU,<class 'datetime.date'>
312,Tuatapere,-46.13,167.68,61.25,67,94,6.38,NZ,<class 'datetime.date'>
